# first line anyway ignored (n. of points, energy shift, scaling = scaling x scaling, unit of disctance, unit of energy [both in units defined in POTL block])
43 0.0 1.0 1.0 1.0
# also ignored (3 integer parameters n, m, and s controling the RKHS, if we want to impose conditions, number of coefficients we want to impose conditions on)
3 1 2 T 3
# also ignored (Ra, C4, C6, C8, RC4, RC6, RC8)
15.0 159.9 5079.0 3.0226E5 65.0 60.0 55.0
# also ignored
5	0.088301729595003
5.25	0.072117198424003
5.5	0.057009842348997
5.75	0.041671094628001
6	0.027980922697999
6.25	0.016235079297996
6.5	0.006397692415
6.75	-0.001746864769999
7	-0.008421030066
7.25	-0.013826370438004
7.5	-0.01814418248
7.75	-0.021536302102
8	-0.024145354064999
8.25	-0.026095131936998
8.5	-0.027491807625999
8.75	-0.028425871901
9	-0.028974152328999
9.25	-0.029201685427001
9.5	-0.029163420343004
9.75	-0.028905744524
10	-0.028467776068002
10.5	-0.027177815152999
11	-0.025500529796002
11.5	-0.023584938041999
12	-0.021539704739002
12.5	-0.019444579837998
13	-0.017358579784002
13.5	-0.015325759205002
14	-0.013379209617
14.5	-0.011543957244999
15	-0.009838935183002
16	-0.006871627273998
17	-0.004538066555003
21	-0.001065655109997
22.5	-0.000754629155001
25	-0.000462417613996
27.5	-0.000305079919006
30	-0.000210877899999
32.5	-0.000150886834003
35	-0.000111014889999
40	-6.41627310038473E-05
45	-3.97098529987261E-05
50	-2.5908608002112E-05
